,mae,rmse,mape,r2
linear_regression,0.018451569223794016,0.022676670625451856,0.1917748622750368,0.999993860494074
voting_ensemble,0.02020622094008168,0.1305010612015192,0.21466862789491642,0.9997966693142737
stacking_ensemble,0.008832868860562266,0.1546346070679853,0.07783324525501896,0.9997145117561955
random_forest,0.006685127733782377,0.19297055805186353,0.05185791722685373,0.9995554128107821
gradient_boosting,0.04878733551669115,0.20198020955633408,0.5460002090339758,0.9995129287722856
